Diss,Name,Artist,Category,Subcategory,Release Date,Release Order,Length of song (min),Streams
"If you was in a pine box, box
I would still be in my spot",Buried Alive Interlude Pt.2,Drake,Career and Talent,Commercial success/lack thereof,05/03/2024,7,1,
"For you to make it to the peak, peak
It'd have to be the death of me, the death of me",Buried Alive Interlude Pt.2,Drake,Career and Talent,Commercial success/lack thereof,05/03/2024,7,1,
"Lookin' in the mirror, still embarrassed",Buried Alive Interlude Pt.2,Drake,Character,Behavioural Criticism,05/03/2024,7,1,
Stop talkin' how you gon' spare us,Buried Alive Interlude Pt.2,Drake,Career and Talent,Goading/Provocation/Warning,05/03/2024,7,1,
React like an infant whenever I am mentioned,Buried Alive Interlude Pt.2,Drake,Character,Behavioural Criticism,05/03/2024,7,1,
It's like you need tension to always get attention,Buried Alive Interlude Pt.2,Drake,Character,Behavioural Criticism,05/03/2024,7,1,
You always said how you wanna bury me alive,Buried Alive Interlude Pt.2,Drake,Violence and Threats,Physical Harm/Direct Threats,05/03/2024,7,1,
Jealousy disguised as yo' motherfuckin' pride,Buried Alive Interlude Pt.2,Drake,Character,Behavioural Criticism,05/03/2024,7,1,
"Took you on your first tour with us, tryna catch a vibе
I was headline, you was standin' on the sidе
",Buried Alive Interlude Pt.2,Drake,Career and Talent,Commercial success/lack thereof,05/03/2024,7,1,
"Brought you and that other ho along for the ride
First time people lined up for your ass
",Buried Alive Interlude Pt.2,Drake,Career and Talent,Commercial success/lack thereof,05/03/2024,7,1,
Now you sayin' two pussy boys gettin' outta line,Buried Alive Interlude Pt.2,Drake,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,7,1,
You been hatin' hard for a very long time,Buried Alive Interlude Pt.2,Drake,Character,Behavioural Criticism,05/03/2024,7,1,
It feel like Twitter ghostwritin’ your reply,Buried Alive Interlude Pt.2,Drake,Career and Talent,Artistic ability,05/03/2024,7,1,
"Streets out here talkin' like, ""At least a nigga tried""",Buried Alive Interlude Pt.2,Drake,Career and Talent,Artistic ability,05/03/2024,7,1,
"It's how you felt in 2011, why we wastin' time?
Dreams come true, crodie, this is where you die",Buried Alive Interlude Pt.2,Drake,Career and Talent,Commercial success/lack thereof,05/03/2024,7,1,
"It's survival, survival
I think somebody lying
Smell somebody lying
I don't see no fire",6:16 in LA,Kendrick,Character,Behavioural Criticism,05/03/2024,5,3.75,
Off-white Sunseeker at the marina,6:16 in LA,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,5,3.75,
"Fuck a Phantom, I like to buy yachts when I get the fever",6:16 in LA,Kendrick,Career and Talent,Commercial success/lack thereof,05/03/2024,5,3.75,
"Trifecta, money, morals, and culture, that's my leisure",6:16 in LA,Kendrick,Career and Talent,Artistic ability,05/03/2024,5,3.75,
"My visa, passport tatted, I show up in Ibiza",6:16 in LA,Kendrick,Career and Talent,Commercial success/lack thereof,05/03/2024,5,3.75,
Lucalis dwellings in Brooklyn just to book me some pizza,6:16 in LA,Kendrick,Career and Talent,Commercial success/lack thereof,05/03/2024,5,3.75,
Who could reach us? Only God could teleport this type of freedom,6:16 in LA,Kendrick,Career and Talent,Goading/Provocation/Warning,05/03/2024,5,3.75,
Tell me who gon' stop me? I come from love,6:16 in LA,Kendrick,Character,Moral Character,05/03/2024,5,3.75,
I know this type of power is gon' cost,6:16 in LA,Kendrick,Career and Talent,Commercial success/lack thereof,05/03/2024,5,3.75,
But the industry's cooked as I pick the carcass apart,6:16 in LA,Kendrick,Career and Talent,Artistic ability,05/03/2024,5,3.75,
"Yeah, somebody's lyin', I can see the vibes on Ak'
Even he lookin' compromised, let's peel the layers back",6:16 in LA,Kendrick,Career and Talent,Industry Connects/Exploitation,05/03/2024,5,3.75,
"Ain't no brownie points for beating your chest, harassin' Ant",6:16 in LA,Kendrick,Character,Behavioural Criticism,05/03/2024,5,3.75,
"Ain't no brownie points for beating your chest, harassin' Ant",6:16 in LA,Kendrick,Career and Talent,Industry Connects/Exploitation,05/03/2024,5,3.75,
Fuckin' with good people make good people go to bat,6:16 in LA,Kendrick,Character,Behavioural Criticism,05/03/2024,5,3.75,
"Conspiracies about Cash, dog? That's not even the leak
Find the jewels like Kash Doll, I just need you to think
",6:16 in LA,Kendrick,Character,Moral Character,05/03/2024,5,3.75,
Have you ever thought that OVO is workin' for me?,6:16 in LA,Kendrick,Career and Talent,Industry Connects/Exploitation,05/03/2024,5,3.75,
"Fake bully, I hate bullies, you must be a terrible person",6:16 in LA,Kendrick,Character,Behavioural Criticism,05/03/2024,5,3.75,
Everyone inside your team is whispering that you deserve it,6:16 in LA,Kendrick,Character,Public vs private self,05/03/2024,5,3.75,
"Can't Toosie Slide up outta this one, it's just gon' resurface",6:16 in LA,Kendrick,Career and Talent,Artistic ability,05/03/2024,5,3.75,
"Every dog gotta have its day, now live in your purpose",6:16 in LA,Kendrick,Career and Talent,Goading/Provocation/Warning,05/03/2024,5,3.75,
"I'm sorry that I live a boring life, I love peace
But war-ready if the world is ready to see you bleed
",6:16 in LA,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/03/2024,5,3.75,
"The Elohim, KTW, know you can't sleep, these images trouble you
Know the wires in your circle should puzzle you",6:16 in LA,Kendrick,Character,Public vs private self,05/03/2024,5,3.75,
"If you were street-smart, then you woulda caught that your entourage is only to hustle you",6:16 in LA,Kendrick,Character,Behavioural Criticism,05/03/2024,5,3.75,
"If you were street-smart, then you woulda caught that your entourage is only to hustle you",6:16 in LA,Kendrick,Character,Public vs private self,05/03/2024,5,3.75,
"A hundred niggas that you got on salary
And twenty of 'em want you as a casualty
",6:16 in LA,Kendrick,Character,Public vs private self,05/03/2024,5,3.75,
"And one of them is actually next to you, Just don't got the audacity to tell you
And two of them is practically tired of your lifestyle

",6:16 in LA,Kendrick,Character,Public vs private self,05/03/2024,5,3.75,
"But let me tell you some game 'cause I can see you, my lil' homie
You playin' dirty with propaganda, it blow up on ya
",6:16 in LA,Kendrick,Character,Behavioural Criticism,05/03/2024,5,3.75,
You're playin' nerdy with Zack Bia and Twitter bots,6:16 in LA,Kendrick,Career and Talent,Industry Connects/Exploitation,05/03/2024,5,3.75,
"But your reality can't hide behind Wi-Fi
Your lil' memes is losin' steam, they figured you out
",6:16 in LA,Kendrick,Character,Public vs private self,05/03/2024,5,3.75,
"The forced opinions is not convincin', y'all need a new route",6:16 in LA,Kendrick,Career and Talent,Artistic ability,05/03/2024,5,3.75,
It's time that you look around on who's around you,6:16 in LA,Kendrick,Character,Public vs private self,05/03/2024,5,3.75,
"Before you figure that you're not alone, ask: ""What Mike would do?""",6:16 in LA,Kendrick,Character,Public vs private self,05/03/2024,5,3.75,
"Nigga, I said it, I know that you mad",Family Matters,Drake,Career and Talent,Artistic ability,05/03/2024,6,7.6,137193329
I've emptied the clip over friendlier jabs,Family Matters,Drake,Violence and Threats,Physical Harm/Direct Threats,05/03/2024,6,7.6,137193329
"You mentioned my seed, now deal with his dad",Family Matters,Drake,Family,Parenting abilities/presence,05/03/2024,6,7.6,137193329
"I gotta go bad, I gotta go bad",Family Matters,Drake,Career and Talent,Goading/Provocation/Warning,05/03/2024,6,7.6,137193329
"If you had a set, they'd give your ass a DP",Family Matters,Drake,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/03/2024,6,7.6,137193329
"But you civilian gang, in real life, you PC",Family Matters,Drake,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/03/2024,6,7.6,137193329
You better have some paperwork or that shit fake tea,Family Matters,Drake,Character,Behavioural Criticism,05/03/2024,6,7.6,137193329
Can't bе rappin' 'bout no rattin' that we can't read,Family Matters,Drake,Character,Behavioural Criticism,05/03/2024,6,7.6,137193329
Just like how Metro nigga slimed him for his main squeeze,Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
"Out here beggin' for attention, nigga, say please",Family Matters,Drake,Character,Behavioural Criticism,05/03/2024,6,7.6,137193329
Always rappin' like you 'bout to get the slaves freed,Family Matters,Drake,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,6,7.6,137193329
"You just actin' like an activist, it's make-believe",Family Matters,Drake,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,6,7.6,137193329
Don't even go back to your hood and plant no money trees,Family Matters,Drake,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,6,7.6,137193329
"Say you hate the girls I fuck, but what you really mean?",Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
"Say you hate the girls I fuck, but what you really mean?",Family Matters,Drake,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,6,7.6,137193329
I been with Black and white and everything that's in between,Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
I been with Black and white and everything that's in between,Family Matters,Drake,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,6,7.6,137193329
You the Black messiah wifin' up a mixed queen,Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
And hit vanilla cream to help out with your self-esteem,Family Matters,Drake,Women,Abuse,05/03/2024,6,7.6,137193329
And hit vanilla cream to help out with your self-esteem,Family Matters,Drake,Women,Infidelity,05/03/2024,6,7.6,137193329
"On some Bobby shit, I wanna know what Whitney need",Family Matters,Drake,Women,Infidelity,05/03/2024,6,7.6,137193329
"On some Bobby shit, I wanna know what Whitney need",Family Matters,Drake,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,6,7.6,137193329
All that puppy love was over in y'all late teens,Family Matters,Drake,Family,Family dynamics,05/03/2024,6,7.6,137193329
"Why you never hold your son and tell him, ""Say cheese""?",Family Matters,Drake,Family,Parenting abilities/presence,05/03/2024,6,7.6,137193329
"We could've left the kids out of this, don't blame me",Family Matters,Drake,Family,Parenting abilities/presence,05/03/2024,6,7.6,137193329
"You a dog and you know it, you just play sweet",Family Matters,Drake,Character,Moral Character,05/03/2024,6,7.6,137193329
"Your baby mama captions always screamin', ""Save me""",Family Matters,Drake,Women,Abuse,05/03/2024,6,7.6,137193329
"You did her dirty all your life, you tryna make peace",Family Matters,Drake,Women,Abuse,05/03/2024,6,7.6,137193329
I heard that one of 'em little kids might be Dave Free,Family Matters,Drake,Women,Infidelity,05/03/2024,6,7.6,137193329
I heard that one of 'em little kids might be Dave Free,Family Matters,Drake,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,6,7.6,137193329
Don't make it Dave Free's,Family Matters,Drake,Women,Infidelity,05/03/2024,6,7.6,137193329
"Cause if your GM is your BM secret BD, Then this is all makin' plenty fuckin' sense to me",Family Matters,Drake,Women,Infidelity,05/03/2024,6,7.6,137193329
"Cause if your GM is your BM secret BD, Then this is all makin' plenty fuckin' sense to me",Family Matters,Drake,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,6,7.6,137193329
"Ayy, let that shorty breathe",Family Matters,Drake,Women,Abuse,05/03/2024,6,7.6,137193329
"Well, not that kind of free, I'm talkin' 'bout my nigga Dave",Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
"Your man a lil' K, we call that shit a mini Drac'",Family Matters,Drake,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/03/2024,6,7.6,137193329
"Your man a lil' K, we call that shit a mini Drac'",Family Matters,Drake,Physicality and Masculinity,Physical Attributes,05/03/2024,6,7.6,137193329
"He always said I overlooked him, I was starin' straight",Family Matters,Drake,Physicality and Masculinity,Physical Attributes,05/03/2024,6,7.6,137193329
These bars go over Kenny head no matter what I say,Family Matters,Drake,Physicality and Masculinity,Physical Attributes,05/03/2024,6,7.6,137193329
"I know you like to keep it short, so let me paraphrase",Family Matters,Drake,Physicality and Masculinity,Physical Attributes,05/03/2024,6,7.6,137193329
Drop a fifty bag for the mob in the spot,Family Matters,Drake,Career and Talent,Commercial success/lack thereof,05/03/2024,6,7.6,137193329
"Drop a fifty bag, 29 for the thot",Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
"Let me stop playin' around, let me take this shit serious, like",Family Matters,Drake,Career and Talent,Goading/Provocation/Warning,05/03/2024,6,7.6,137193329
"Still mad about that one ho, we ain't even fuck, I just lip-locked with her",Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
"I get active when it's war time, I ain't even really let my dick drop, nigga",Family Matters,Drake,Career and Talent,Goading/Provocation/Warning,05/03/2024,6,7.6,137193329
"House sittin' on some land, but it's out where no one even really know y'all niggas",Family Matters,Drake,Career and Talent,Commercial success/lack thereof,05/03/2024,6,7.6,137193329
"Bitches gotta drive two hours 'fore you pay 'em just to give a blowjob, nigga",Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
"Cause my last record deal was four hundred M's, these days, that's a low ball, nigga",Family Matters,Drake,Career and Talent,Commercial success/lack thereof,05/03/2024,6,7.6,137193329
"​good kid, m.A.A.d city van, we'll pop the latch and let the door slide",Family Matters,Drake,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/03/2024,6,7.6,137193329
"​good kid, m.A.A.d city van, we'll pop the latch and let the door slide",Family Matters,Drake,Violence and Threats,Physical Harm/Direct Threats,05/03/2024,6,7.6,137193329
"Tears runnin' down my cheek, laughin' at you pussies dyin', it's a war cry",Family Matters,Drake,Violence and Threats,Physical Harm/Direct Threats,05/03/2024,6,7.6,137193329
"do the math, who I was hittin' then?",Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
"Me and Savage had the hoes drippin' wet at shows, almost had to swim to it",Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
K-Dot shit is only hittin' hard when Baby Keem put his pen to it,Family Matters,Drake,Career and Talent,Artistic ability,05/03/2024,6,7.6,137193329
"I'm goin' on vacation now, hope next time y'all plan it right",Family Matters,Drake,Career and Talent,Goading/Provocation/Warning,05/03/2024,6,7.6,137193329
"Cause you gotta pay for sayin' my name, guess now niggas understand the price",Family Matters,Drake,Violence and Threats,Implied Threats/Intimidation,05/03/2024,6,7.6,137193329
"Kendrick just opened his mouth, someone go hand him a Grammy right now",Family Matters,Drake,Career and Talent,Artistic ability,05/03/2024,6,7.6,137193329
Where is your uncle at? 'Cause I wanna talk to the man of the house,Family Matters,Drake,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,6,7.6,137193329
"West Coast niggas do fades, right? Come get this ass whoopin', I'm handin' 'em out",Family Matters,Drake,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/03/2024,6,7.6,137193329
You wanna take up for Pharrell? Then come get his legacy out of my house,Family Matters,Drake,Career and Talent,Industry Connects/Exploitation,05/03/2024,6,7.6,137193329
"A cease and desist is for hoes, can't listen to lies that come out of your mouth
You called the Tupac estate and begged 'em to sue me and get that shit down
",Family Matters,Drake,Career and Talent,Industry Connects/Exploitation,05/03/2024,6,7.6,137193329
"I'm losin' perspective on beef, Boi-1da send beat and I'll kill you for fun",Family Matters,Drake,Violence and Threats,Implied Threats/Intimidation,05/03/2024,6,7.6,137193329
"Your daddy got robbed by Top, you Stunna and Wayne, like father, like son
Anthony set up the plays, Kojo be chargin' you double for nothin'
",Family Matters,Drake,Career and Talent,Industry Connects/Exploitation,05/03/2024,6,7.6,137193329
"They shook about what I'ma say, but textin' your phone like, ""We already won""",Family Matters,Drake,Character,Public vs private self,05/03/2024,6,7.6,137193329
"You tell me what I shouldn't say, but fuck it, my nigga, it's already done",Family Matters,Drake,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,6,7.6,137193329
"We already know it's a twenty-v-one, we already know why you went number one",Family Matters,Drake,Career and Talent,Artistic ability,05/03/2024,6,7.6,137193329
"It's clearly because of The Boy, the honorable thing is to give me the loot",Family Matters,Drake,Career and Talent,Artistic ability,05/03/2024,6,7.6,137193329
"You right about ""Fuck the big three,"" it's only Big D, and there's video proof",Family Matters,Drake,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,6,7.6,137193329
"Our sons should go play at the park, two lightskin kids, that shit would be cute",Family Matters,Drake,Family,Parenting abilities/presence,05/03/2024,6,7.6,137193329
Unless you don't want to be seen with anyone that isn't Blacker than you,Family Matters,Drake,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,6,7.6,137193329
"The blacker the berry, the sweeter the juice",Family Matters,Drake,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,6,7.6,137193329
We get that you like to put gin in your juice,Family Matters,Drake,Character,Behavioural Criticism,05/03/2024,6,7.6,137193329
We get that you think that you Bishop in Juice,Family Matters,Drake,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,6,7.6,137193329
"When you put your hands on your girl, is it self-defense 'cause she bigger than you?",Family Matters,Drake,Women,Abuse,05/03/2024,6,7.6,137193329
"Your back is up against the curb, you diggin' for dirt, should be diggin' for proof",Family Matters,Drake,Character,Behavioural Criticism,05/03/2024,6,7.6,137193329
Why did you move to New York? Is it 'cause you livin' that bachelor life?,Family Matters,Drake,Women,Misogyny,05/03/2024,6,7.6,137193329
"Proposed in 2015, but don't wanna make her your actual wife",Family Matters,Drake,Family,Family dynamics,05/03/2024,6,7.6,137193329
"I'm guessin' this wedding ain't happenin', right?",Family Matters,Drake,Family,Family dynamics,05/03/2024,6,7.6,137193329
"I'm guessin' this wedding ain't happenin', right?",Family Matters,Drake,Women,Infidelity,05/03/2024,6,7.6,137193329
Cause we know the girls that you actually like,Family Matters,Drake,Women,Infidelity,05/03/2024,6,7.6,137193329
Your darkest secrets are comin' to light,Family Matters,Drake,Character,Moral Character,05/03/2024,6,7.6,137193329
It's all on your face like what happened to Mike,Family Matters,Drake,Character,Moral Character,05/03/2024,6,7.6,137193329
"Oh shit, it's all makin' sense, maybe I'm Prince and you actually Mike",Family Matters,Drake,Career and Talent,Artistic ability,05/03/2024,6,7.6,137193329
Michael was prayin' his features would change so people believe that he's actually white,Family Matters,Drake,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,6,7.6,137193329
"Top would make you do features for change, get on pop records and rap for the whites",Family Matters,Drake,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,6,7.6,137193329
"Oh shit, just follow me, right? 'Cause nothin' you sayin' could bother me, right?",Family Matters,Drake,Career and Talent,Goading/Provocation/Warning,05/03/2024,6,7.6,137193329
"I get off the plane and nothing has changed, I head to Delilah with all of my ice",Family Matters,Drake,Street Cred and Cultural Authenticity,Geographical Claims,05/03/2024,6,7.6,137193329
"This shit gotta be over by now for anyone out here that's calling it, right?",Family Matters,Drake,Career and Talent,Artistic ability,05/03/2024,6,7.6,137193329
"There's nowhere to hide, there's nowhere to hide, you know what I mean",Family Matters,Drake,Career and Talent,Goading/Provocation/Warning,05/03/2024,6,7.6,137193329
They hired a crisis management team to clean up the fact that you beat on your queen,Family Matters,Drake,Women,Abuse,05/03/2024,6,7.6,137193329
"The picture you painted ain't what it seem, you're dead",Family Matters,Drake,Character,Public vs private self,05/03/2024,6,7.6,137193329
"I'm sorry that that man is your father, let me be honest",Meet The Grahams,Kendrick,Family,Parenting abilities/presence,05/03/2024,8,6.53,135256450
"It takes a man to be a man, your dad is not responsive",Meet The Grahams,Kendrick,Family,Parenting abilities/presence,05/03/2024,8,6.53,135256450
"It takes a man to be a man, your dad is not responsive",Meet The Grahams,Kendrick,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,8,6.53,135256450
I look at him and wish your grandpa woulda wore a condom,Meet The Grahams,Kendrick,Family,Family dynamics,05/03/2024,8,6.53,135256450
I'm sorry that you gotta grow up and then stand behind him,Meet The Grahams,Kendrick,Character,Moral Character,05/03/2024,8,6.53,135256450
Sometimes our parents make mistakes that affect us until we grown,Meet The Grahams,Kendrick,Family,Family dynamics,05/03/2024,8,6.53,135256450
And you're a good kid that need good leadership,Meet The Grahams,Kendrick,Family,Family dynamics,05/03/2024,8,6.53,135256450
Let me be your mentor since your daddy don't teach you shit,Meet The Grahams,Kendrick,Family,Parenting abilities/presence,05/03/2024,8,6.53,135256450
"Never let a man piss on your leg, son
Either you die right there or pop that man in the head, son
",Meet The Grahams,Kendrick,Family,Parenting abilities/presence,05/03/2024,8,6.53,135256450
"Never let a man piss on your leg, son
Either you die right there or pop that man in the head, son
",Meet The Grahams,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/03/2024,8,6.53,135256450
"Never fall in the escort business, that's bad religion",Meet The Grahams,Kendrick,Character,Moral Character,05/03/2024,8,6.53,135256450
"Please remember, you could be a bitch even if you got bitches",Meet The Grahams,Kendrick,Women,Misogyny,05/03/2024,8,6.53,135256450
"Never code-switch, whether right or wrong, you're a Black man",Meet The Grahams,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,8,6.53,135256450
"Even if it don't benefit your goals, do some push-ups, get some discipline",Meet The Grahams,Kendrick,Physicality and Masculinity,Physical Attributes,05/03/2024,8,6.53,135256450
"Don't cut them corners like your daddy did, fuck what Ozempic did",Meet The Grahams,Kendrick,Physicality and Masculinity,Physical Attributes,05/03/2024,8,6.53,135256450
"Don't pay to play with them Brazilians, get a gym membership",Meet The Grahams,Kendrick,Physicality and Masculinity,Physical Attributes,05/03/2024,8,6.53,135256450
"Understand, no throwin' rocks and hidin' hands, that's law",Meet The Grahams,Kendrick,Character,Behavioural Criticism,05/03/2024,8,6.53,135256450
"Don't be ashamed 'bout who you wit', that's how he treat your moms",Meet The Grahams,Kendrick,Family,Hidden children,05/03/2024,8,6.53,135256450
"Don't have a kid to hide a kid to hide again, be sure",Meet The Grahams,Kendrick,Family,Hidden children,05/03/2024,8,6.53,135256450
"Be proud of who you are, your strength come from within",Meet The Grahams,Kendrick,Character,Moral Character,05/03/2024,8,6.53,135256450
"Lotta superstars that's real, but your daddy ain't one of them",Meet The Grahams,Kendrick,Family,Family dynamics,05/03/2024,8,6.53,135256450
"Lotta superstars that's real, but your daddy ain't one of them",Meet The Grahams,Kendrick,Character,Moral Character,05/03/2024,8,6.53,135256450
"And you nothing like him, you'll carry yourself as king",Meet The Grahams,Kendrick,Character,Moral Character,05/03/2024,8,6.53,135256450
"Your son got some habits, I hope you don't undermine them",Meet The Grahams,Kendrick,Women,Misogyny,05/03/2024,8,6.53,135256450
"Your son got some habits, I hope you don't undermine them",Meet The Grahams,Kendrick,Family,Family dynamics,05/03/2024,8,6.53,135256450
Especially with all the girls that's hurt inside this climate,Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"Dear Dennis, you gave birth to a master manipulator",Meet The Grahams,Kendrick,Family,Family dynamics,05/03/2024,8,6.53,135256450
"Dear Dennis, you gave birth to a master manipulator",Meet The Grahams,Kendrick,Character,Behavioural Criticism,05/03/2024,8,6.53,135256450
Even usin' you to prove who he is is a huge favor,Meet The Grahams,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,8,6.53,135256450
"I think you should ask for more paper, and more paper
And more, uh, more paper
",Meet The Grahams,Kendrick,Career and Talent,Commercial success/lack thereof,05/03/2024,8,6.53,135256450
I'm blamin' you for all his gamblin' addictions,Meet The Grahams,Kendrick,Character,Behavioural Criticism,05/03/2024,8,6.53,135256450
"Psychopath intuition, the man that like to play victim",Meet The Grahams,Kendrick,Character,Behavioural Criticism,05/03/2024,8,6.53,135256450
"You raised a horrible fuckin' person, the nerve of you, Dennis",Meet The Grahams,Kendrick,Character,Behavioural Criticism,05/03/2024,8,6.53,135256450
"Mm-mm, your son's a sick man with sick thoughts, I think niggas like him should die",Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"Mm-mm, your son's a sick man with sick thoughts, I think niggas like him should die",Meet The Grahams,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/03/2024,8,6.53,135256450
Him and Weinstein should get fucked up in a cell for the rest their life,Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"He hates Black women, hypersexualizes 'em with kinks of a nympho fetish",Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"He hates Black women, hypersexualizes 'em with kinks of a nympho fetish",Meet The Grahams,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/03/2024,8,6.53,135256450
Grew facial hair because he understood bein' a beard just fit him better,Meet The Grahams,Kendrick,Physicality and Masculinity,Sexual Prowess/Manhood,05/03/2024,8,6.53,135256450
He got sex offenders on ho-VO that he keep on a monthly allowance,Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
A child should never be compromised and he keepin' his child around them,Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
And we gotta raise our daughters knowin' there's predators like him lurkin',Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"Fuck a rap battle, he should die so all of these women can live with a purpose",Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
It's some weird shit goin' on and some of these artists be here to police it,Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
They be streamlinin' victims all inside of they home and callin' 'em tender,Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
Then leak videos of themselves to further push their agendas,Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"To any woman that be playin' his music, know that you're playin' your sister",Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"Or better, you're sellin' your niece to the weirdos, not the good ones",Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"The Embassy 'bout to get raided too, it's only a matter of time",Meet The Grahams,Kendrick,Career and Talent,Commercial success/lack thereof,05/03/2024,8,6.53,135256450
"Ayy, LeBron, keep the family away, hey, Curry, keep the family away",Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"To anybody that embody the love for their kids, keep the family away",Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"They lookin' at you too if you standin' by him, keep the family away",Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"I'm lookin' to shoot through any pervert that lives, keep the family safe",Meet The Grahams,Kendrick,Women,Sexual misconduct/predation,05/03/2024,8,6.53,135256450
"I'm lookin' to shoot through any pervert that lives, keep the family safe",Meet The Grahams,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/03/2024,8,6.53,135256450
I'm sorry that your father not active inside your world,Meet The Grahams,Kendrick,Family,Hidden children,05/03/2024,8,6.53,135256450
"He don't commit to much but his music, yeah, that's for sure",Meet The Grahams,Kendrick,Family,Parenting abilities/presence,05/03/2024,8,6.53,135256450
"He a narcissist, misogynist, livin' inside his songs",Meet The Grahams,Kendrick,Character,Moral Character,05/03/2024,8,6.53,135256450
Try destroyin' families rather than takin' care of his own,Meet The Grahams,Kendrick,Family,Parenting abilities/presence,05/03/2024,8,6.53,135256450
"Should be teachin' you time tables or watchin' Frozen with you
Or at your eleventh birthday singin' poems with you
",Meet The Grahams,Kendrick,Family,Parenting abilities/presence,05/03/2024,8,6.53,135256450
"Instead, he be in Turks payin' for sex and poppin' Percs, examples that you don't deserve",Meet The Grahams,Kendrick,Character,Moral Character,05/03/2024,8,6.53,135256450
"Cause our children is the future, but he lives inside confusion",Meet The Grahams,Kendrick,Character,Behavioural Criticism,05/03/2024,8,6.53,135256450
"Money's always been illusion, but that's the life he's used to",Meet The Grahams,Kendrick,Career and Talent,Commercial success/lack thereof,05/03/2024,8,6.53,135256450
His father prolly didn't claim him neither,Meet The Grahams,Kendrick,Family,Hidden children,05/03/2024,8,6.53,135256450
